sample_id	condition	replicate	fast5_dir
s1	control	1	/home/aleg/Programming/Packages/MetaCompore/data/fast5/control_rep0
s2	control	2	/home/aleg/Programming/Packages/MetaCompore/data/fast5/control_rep1
s3	control	3	/home/aleg/Programming/Packages/MetaCompore/data/fast5/control_rep2
s4	control	4	/home/aleg/Programming/Packages/MetaCompore/data/fast5/control_rep3
s5	test	1	/home/aleg/Programming/Packages/MetaCompore/data/fast5/modified_rep0
s6	test	2	/home/aleg/Programming/Packages/MetaCompore/data/fast5/modified_rep1
s7	test	3	/home/aleg/Programming/Packages/MetaCompore/data/fast5/modified_rep2
s8	test	4	/home/aleg/Programming/Packages/MetaCompore/data/fast5/modified_rep3
